167,-16,3,40.488075256347656
185,-8,5,18.237741470336914
189,-7,16,61.13017654418945
192,-6,1,20.492029190063477
155,-24,5,76.39617156982422
102,-46,16,86.7138900756836
144,-29,42,48.50004196166992
145,-28,9,73.18633270263672
195,-4,30,30.92112159729004
126,-40,42,41.54475021362305
159,-22,29,86.01354217529297
380,1,20,21.832429885864258
198,-1,38,20.905532836914062
105,-46,38,64.3111572265625
118,-42,20,40.89971923828125
149,-28,41,68.05610656738281
165,-18,38,14.352660179138184
203,0,43,71.6622085571289
172,-12,13,67.01502227783203
197,-2,30,61.43430709838867
85,-22,-2,79.98847198486328
157,-23,8,13.11429500579834
146,-28,13,29.879127502441406
173,-11,13,80.63770294189453
174,-11,26,52.717960357666016
187,-7,5,18.7183780670166
163,-19,11,13.272875785827637
138,-31,25,31.474695205688477
128,-37,24,81.80907440185547
188,-7,6,68.5511703491211
184,-8,3,33.50210189819336
196,-3,26,15.222254753112793
194,-4,14,13.643290519714355
180,-10,29,58.17134475708008
186,-8,44,23.042131423950195
152,-26,5,41.29270553588867
150,-27,17,82.51042938232422
142,-29,30,70.3116455078125
178,-10,10,82.32949829101562
125,-40,12,40.730224609375
148,-28,32,56.299293518066406
199,-1,42,29.05725860595703
202,0,34,30.66917610168457
92,-7,-1,86.02238464355469
124,-40,10,23.0430965423584
131,-36,1,40.73889923095703
179,-10,22,44.0200309753418
154,-25,31,54.226192474365234
111,-44,20,32.34088134765625
123,-40,9,82.22492980957031
191,-7,38,25.59627342224121
181,-9,34,12.504733085632324
190,-7,30,76.33120727539062
162,-21,37,77.80221557617188
114,-43,37,31.51407814025879
143,-29,38,12.591425895690918
170,-14,42,80.75209045410156
161,-21,43,58.30172348022461
135,-34,34,75.49636840820312
182,-9,44,18.2089900970459
160,-22,38,86.32722473144531
164,-18,37,38.79916763305664
168,-15,22,40.484622955322266
176,-10,1,37.72160339355469
381,1,38,15.223834037780762
158,-23,40,36.32553482055664
137,-31,24,25.25290870666504
147,-28,46,77.66727447509766
171,-13,35,19.812097549438477
169,-15,40,78.67577362060547
110,-44,16,78.52033996582031
104,-46,28,42.95326232910156
177,-10,5,85.8843994140625
130,-37,42,40.09645080566406
127,-38,42,17.20171546936035
201,0,26,50.248050689697266
193,-6,28,30.469099044799805
153,-26,11,51.33665466308594
139,-31,34,75.40438842773438
175,-11,31,73.73875427246094
166,-17,39,45.46635818481445
113,-43,33,76.93354034423828
103,-46,27,30.080801010131836
119,-42,30,12.809439659118652
116,-42,7,13.745306968688965
140,-30,33,41.61140441894531
141,-30,41,11.742419242858887
134,-34,30,13.213624954223633
132,-36,23,26.72187614440918
109,-44,1,14.390170097351074
106,-46,39,12.6065092086792
112,-44,21,66.43434143066406
117,-42,12,18.834653854370117
120,-41,4,40.80603790283203
115,-42,5,34.472900390625
156,-24,47,17.556360244750977
107,-46,41,15.133666038513184
108,-45,33,21.41692543029785
121,-41,37,51.46275329589844
133,-35,47,39.22036361694336
129,-37,37,84.50634002685547
151,-27,45,74.37933349609375
122,-41,45,74.77861022949219
136,-32,36,52.32906723022461
183,-9,47,56.80464553833008
